NB18H089,67,M
NB18H091,14,F
NB18H091,38,F
NB18H091,8,F
NB19H059,57,F
NB19H059,35,F
NB19H059,16,F
NB19H059,9,F
NB19H059,37,M
NB19H060,19,F
NB19H060,1,M
NB21H001,5,F
NB21H001,56,F
NB21H001,56,M
NB21H019,33,M
NB21H019,5,M
NB21H030,16,M
NB21H030,64,M
NB21H030,8,M
NB21H030,2,M
NB22H003,14,F
NB22H003,47,F
NB22H003,52,M
NB22H009,63,F
NB22H009,9,M
NB22H009,62,M
NB22H009,42,M
NC01H001,19,F
NC01H045,51,F
NC01H077,7,F
NC01H081,29,F
NC01H081,5,M
NC01H091,45,F
NC01H091,17,M
NC01H091,49,M
NC01H097,18,M
NC01H097,18,M
NC01H106,28,F
NC01H106,13,M
NC01H127,4,F
NC01H150,36,F
NC01H150,23,F
NC01H151,0,M
NC01H207,0,F
NC01H220,14,M
NC01H220,12,M
NC01H228,31,F
NC01H228,0,F
NC01H228,29,M
NC01H275,35,F
NC01H275,26,F
NC01H275,68,F
NC01H275,12,F
NC01H275,16,M
NC01H275,39,M
NC01H276,0,M
NC01H278,4,F
NC01H281,0,F
NC01H284,7,F
NC01H284,28,F
NC01H285,0,M
NC01H287,25,F
NC01H287,46,F
NC01H287,48,M
NC01H287,4,M
NC01H287,1,M
NC01H297,39,F
NC01H297,15,M
NC02H001,17,F
NC02H001,68,F
NC02H001,16,F
NC02H001,77,M
NC02H022,53,F
NC02H022,61,M
NC02H022,23,M
NC02H031,47,F
NC02H031,15,M
NC02H034,66,F
NC02H034,19,M
NC02H081,50,F
NC02H081,52,F
NC02H081,11,M
NC02H081,52,M
NC02H081,14,M
NC02H081,54,M
NC02H095,18,M
NC02H095,22,M
NC02H125,56,F
NC02H125,39,F
