Person,PersonID,House,Mosquito,Age,Gender,WorkRandom,House_XCoord,House_Y_Coord,DENV1,DENV2,DENV3,DENV4,Denv1_time,Denv1_X,Denv1_Y,Denv2_time,Denv2_X,Denv2_Y,Denv3_time,Denv3_X,Denv3_Y,Denv4_time,Denv4_X,Denv4_Y
root.people[1643], 1644, root.buildings[702]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 11.0, M, 0.0, 552474.7793, 1829594.394, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1644], 1645, root.buildings[703]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 55.0, F, 0.0, 553954.799, 1824360.588, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1645], 1646, root.buildings[703]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 57.0, M, 0.0, 553954.799, 1824360.588, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1646], 1647, root.buildings[703]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 8.0, M, 0.0, 553954.799, 1824360.588, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1647], 1648, root.buildings[704]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 24.0, F, 0.0, 558023.0034, 1829342.349, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1648], 1649, root.buildings[704]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 21.0, M, 0.0, 558023.0034, 1829342.349, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1649], 1650, root.buildings[704]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 48.0, M, 0.0, 558023.0034, 1829342.349, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1650], 1651, root.buildings[704]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 29.0, M, 0.0, 558023.0034, 1829342.349, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1651], 1652, root.buildings[705]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 26.0, F, 1.0, 553061.6633, 1824711.595, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1652], 1653, root.buildings[705]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 30.0, M, 0.0, 553061.6633, 1824711.595, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1653], 1654, root.buildings[706]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 37.0, F, 0.0, 553114.043, 1827280.854, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1654], 1655, root.buildings[706]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 19.0, M, 0.0, 553114.043, 1827280.854, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1655], 1656, root.buildings[706]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 46.0, M, 0.0, 553114.043, 1827280.854, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1656], 1657, root.buildings[707]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 64.0, F, 1.0, 557579.9719, 1824931.019, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1657], 1658, root.buildings[707]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 31.0, F, 0.0, 557579.9719, 1824931.019, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1658], 1659, root.buildings[707]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 12.0, F, 0.0, 557579.9719, 1824931.019, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1659], 1660, root.buildings[707]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 58.0, M, 0.0, 557579.9719, 1824931.019, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1660], 1661, root.buildings[707]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 1.0, M, 0.0, 557579.9719, 1824931.019, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1661], 1662, root.buildings[708]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 38.0, F, 0.0, 553475.4939, 1824007.108, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1662], 1663, root.buildings[708]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 18.0, M, 0.0, 553475.4939, 1824007.108, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1663], 1664, root.buildings[709]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 81.0, F, 0.0, 553125.5411, 1825336.391, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
